Version Object ID,URL Type,speckle_type,Object ID,Model URL,data.ObjectType,Размеры.Площадь,Размеры.Объем,Размеры.Длина
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,34de84b2236e4fdb35d815a443c051c3,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","0,378472222","0,027533637","1,057291667"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,38745ede5097608ec9a556d224a560b7,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","0,036244665","0,000797109","0,030608994"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,39399f0fbcb642e8dffa086536a62d7b,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","0,546875","0,040690104","1,5625"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,3ae8bcadf7298d544158cab2e38cc6f7,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","1,003748462","0,076383343","2,933120385"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,3b5ba9884a3b4eeb570343c606d1483e,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","1,003748462","0,076383343","2,933120385"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,3cd8cb2ed2ca915bd579d6add01bb5ac,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","1,102430556","0,084092882","3,229166667"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,3d3189b820b41f62102f827974744f9c,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","1,00513391","0,076491582","2,93727673"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,44ab18ca6294cc932b9426e7ee084d9b,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","0,378472222","0,027533637","1,057291667"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,457a8794ce5349051b0c6856610904fb,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","1,081597222","0,082465278","3,166666667"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCMEMBER,459a3c8c9492363031372dfe5543ed52,https://app.speckle.systems/streams/0082eaa837,"Rectangular Mullion:1.5"" x 2.5"" rectangular","1,003748462","0,076383343","2,933120385"
