Version Object ID,URL Type,speckle_type,ObjectType,Object ID,Model URL,data,Размеры.Ширина,Размеры.Площадь,Размеры.Объем,Размеры.Высота
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,0166b97b1b94604f63eeda67c34dcfbf,https://app.speckle.systems/streams/0082eaa837,[Record],"1,5","4,125","0,34375","2,75"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,033f4edf8623e3f1d9fa0f8917686383,https://app.speckle.systems/streams/0082eaa837,[Record],"0,994791667","2,735677083","0,22797309","2,75"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,03d9a58279fcd205ca021b2681bd7495,https://app.speckle.systems/streams/0082eaa837,[Record],"1,5625","4,296875","0,358072917","2,75"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,06de2b8fb04bba9d9f5a6ddd9cf2d47b,https://app.speckle.systems/streams/0082eaa837,[Record],"3,729911072","10,47403931","0,872836609","2,808120385"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,0a83dc9fee5147af898a3b316a18bbe4,https://app.speckle.systems/streams/0082eaa837,[Record],"3,729911072","10,47403931","0,872836609","2,808120385"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,0d9030935b41c00bc96c20284c5e3e5f,https://app.speckle.systems/streams/0082eaa837,[Record],"3,729911072","10,47403931","0,872836609","2,808120385"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,176208212b93f9e1cda10cf1e0ce4fae,https://app.speckle.systems/streams/0082eaa837,[Record],"3,729911072","10,70715876","0,89226323","2,870620385"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,1b26e9479e1bebce6c9e3505edc7759d,https://app.speckle.systems/streams/0082eaa837,[Record],"0,020833333","0,058502508","0,004875209","2,808120385"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,233762d4c1af0bbd8b84d69abd5d7b9b,https://app.speckle.systems/streams/0082eaa837,[Record],"0,030608994","0,08595374","0,007162812","2,808120385"
1545fc86e4d0655ed6c6e549ff65a254,Branch,IFCPLATE,System Panel:Glazed,24245963690189a62d1fa1862e0134de,https://app.speckle.systems/streams/0082eaa837,[Record],"2,93727673","8,248226661","0,687352222","2,808120385"
