Object ID,speckle_type,Пользовательский.NetArea
32342a72202c16eab5f6a32f187ba396,IFCSLAB,"214,7"
aff29a9dc32e2ef1fb22373b83e51c88,IFCSLAB,"262,4560669"
f8981ec390ad67ff8bb2e1814454ad64,IFCSLAB,"262,4560669"
